Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.94475,0.9425146557004113,0.9994433104472072,0.9701445490160759
Decision Tree,0.9830833333333333,0.9871027176416398,0.9941547596956763,0.9906161882309434
K-Nearest Neighbors,0.90275,0.9023695888805158,0.9999072184078679,0.9486378240394349
